latitude,longitude,altitude,precision,survey_date,governorate,district,village,respondent_id,question,response
13.521033743,44.850949612,617.351651343,4.9,2020-12-06,Lahj,Radfan,الحبيلين,R002,sector_household_needs,1.0
13.3669259,44.8770796,429.2060546875,4.99,2020-12-07,Lahj,Radfan,الملاح,R003,sector_household_needs,1.0
13.519097,44.8514395,641.714599609375,3.9,2020-12-06,Lahj,Radfan,الحبيلين,R004,sector_household_needs,1.0
13.5176625,44.8520083,613.263427734375,4.132,2020-12-06,Lahj,Radfan,الحبيلين,R005,sector_household_needs,1.0
13.5211411,44.8510469,616.4508056640625,4.716,2020-12-06,Lahj,Radfan,الحبيلين,R008,sector_household_needs,1.0
13.519026,44.8514677,621.7896728515625,4.912,2020-12-06,Lahj,Radfan,الحبيلين,R009,sector_household_needs,1.0
13.4287194,44.8245642,519.253662109375,3.977,2020-12-07,Lahj,Radfan,الملاح,R010,sector_household_needs,1.0
13.428718511,44.824544207,513.083435059,4.9,2020-12-07,Lahj,Radfan,الملاح ,R012,sector_household_needs,1.0
13.3669421,44.8771204,428.7044677734375,4.873,2020-12-07,Lahj,Radfan,الملاح,R014,sector_household_needs,1.0
13.3669047,44.8770957,435.597900390625,4.094,2020-12-07,Lahj,Radfan,الملاح,R015,sector_household_needs,1.0
13.0077454,45.011251,29.78155517578125,3.977,2020-12-08,Lahj,Tuban,القوز,R021,sector_household_needs,1.0
13.0077235,45.0110783,28.612060546875,4.898,2020-12-08,Lahj,Tuban,القوز,R022,sector_household_needs,1.0
13.0076975,45.0113492,28.29193115234375,3.9,2020-12-08,Lahj,Tuban,القوز,R024,sector_household_needs,1.0
13.0160527,45.0056529,24.169189453125,3.9,2020-12-08,Lahj,Tuban,دار المناصرة,R025,sector_household_needs,1.0
13.0161604,45.0056193,25.1922607421875,4.158,2020-12-08,Lahj,Tuban,دار المناصرة,R026,sector_household_needs,1.0
13.1304462,45.3769398,4.02423095703125,4.502,2020-12-13,Abyan,Zingibar,زنجبار,R027,sector_household_needs,1.0
13.1304202,45.3769872,5.0,16.968,2020-12-13,Abyan,Zingibar,السوق,R031,sector_household_needs,1.0
13.1304748,45.3768921,-3.100128173828125,4.853,2020-12-13,Abyan,Zingibar,زنجبار,R036,sector_household_needs,1.0
13.1302848,45.3767822,-33.712738037109375,4.931,2020-12-13,Abyan,Zingibar,زنجبار,R037,sector_household_needs,1.0
13.1303673,45.3770332,-6.905059814453125,4.931,2020-12-13,Abyan,Zingibar,زنجبار,R038,sector_household_needs,1.0
13.1304145,45.3768055,20.24853515625,4.824,2020-12-13,Abyan,Zingibar,الرئيسي,R043,sector_household_needs,1.0
13.224559,45.3031669,56.36962890625,4.931,2020-12-13,Abyan,Zingibar,جعار,R044,sector_household_needs,1.0
13.2243989,45.3031358,52.68212890625,4.639,2020-12-13,Abyan,Zingibar,جعار,R045,sector_household_needs,1.0
13.2243755,45.3029634,44.83917236328125,4.698,2020-12-13,Abyan,Zingibar,جعار,R046,sector_household_needs,1.0
13.430827667,44.824570977,527.608764648,4.9,2020-12-14,Lahj,Radfan,الملاح,R047,sector_household_needs,1.0
13.430775569,44.824475551,526.142700195,4.9,2020-12-14,Lahj,Radfan,الملاح,R048,sector_household_needs,1.0
13.368103363,44.876850252,427.453438105,4.7,2020-12-14,Lahj,Radfan,الملاح,R049,sector_household_needs,1.0
12.990514884,44.961507191,65.272503343,4.9,2020-12-14,Lahj,Tuban,الفيوش,R050,sector_household_needs,1.0
12.988953266,44.960422197,22.202645306,4.9,2020-12-14,Lahj,Tuban,الفيوش,R051,sector_household_needs,1.0
13.4287169,44.8245228,49.89999771118164,4.873,2020-12-14,Lahj,Radfan,الملاح,R053,sector_household_needs,1.0
13.4307964,44.8245192,2.400000095367432,4.386,2020-12-14,Lahj,Radfan,الملاح,R054,sector_household_needs,1.0
13.4308241,44.8245405,2.400000095367432,3.9,2020-12-14,Lahj,Radfan,الملاح,R055,sector_household_needs,1.0
12.9905477,44.961515,42.6583251953125,4.824,2020-12-14,Lahj,Tuban,الفيوش,R056,sector_household_needs,1.0
13.4286871,44.8245201,522.4800415039062,4.265,2020-12-14,Lahj,Radfan,الملاح,R057,sector_household_needs,1.0
13.7015734,44.7295085,1505.48291015625,4.055,2020-12-14,Aldhalea,Aldhalea,العرشي,R059,sector_household_needs,1.0
13.7015707,44.7295633,1498.813720703125,4.716,2020-12-14,Aldhalea,Aldhalea,العرشي,R060,sector_household_needs,1.0
13.7015782,44.7295612,1502.9100341796875,4.853,2020-12-14,Aldhalea,Aldhalea,العرشي,R061,sector_household_needs,1.0
13.7074953,44.7287534,2.0999999046325684,5.181,2020-12-15,Aldhalea,Aldhalea,حرير,R062,sector_household_needs,1.0
13.525520252,44.851732372,594.653521905,4.9,2020-12-15,Lahj,Radfan,الحبيلين,R064,sector_household_needs,1.0
13.525372727,44.851891838,625.542358398,4.9,2020-12-15,Lahj,Radfan,الحبيلين,R065,sector_household_needs,1.0
13.523722799,44.85094362,641.404663086,4.9,2020-12-15,Lahj,Radfan,الحبيلين,R066,sector_household_needs,1.0
13.523911298,44.850852496,602.664978027,4.9,2020-12-15,Lahj,Radfan,الحبيلين,R067,sector_household_needs,1.0
13.5255161,44.8517351,630.5,4.759,2020-12-15,Lahj,Radfan,الحبيلين,R068,sector_household_needs,1.0
13.525346,44.8518802,632.1000366210938,4.288,2020-12-15,Lahj,Radfan,الحبيلين,R069,sector_household_needs,1.0
13.5238332,44.8512331,636.939697265625,4.094,2020-12-15,Lahj,Radfan,الحبيلين,R070,sector_household_needs,1.0
13.6950004,44.730682,1461.8258056640625,4.63,2020-12-15,Aldhalea,Aldhalea,الضالع-الشارع العام جانب محطة الوداد,R072,sector_household_needs,1.0
13.6952511,44.7272557,1490.644287109375,4.63,2020-12-15,Aldhalea,Aldhalea,الدرجة,R073,sector_household_needs,1.0
13.6952548,44.727261,1496.21533203125,4.824,2020-12-15,Aldhalea,Aldhalea,الدرجة,R074,sector_household_needs,1.0
