latitude,longitude,altitude,precision,survey_date,governorate,district,village,respondent_id,question,response
13.517595402,44.852007681,619.090148926,4.9,2020-12-06,Lahj,Radfan,الحبيلين,R001,product_service_difference,No
13.521033743,44.850949612,617.351651343,4.9,2020-12-06,Lahj,Radfan,الحبيلين,R002,product_service_difference,Yes
13.3669259,44.8770796,429.2060546875,4.99,2020-12-07,Lahj,Radfan,الملاح,R003,product_service_difference,Yes
13.519097,44.8514395,641.714599609375,3.9,2020-12-06,Lahj,Radfan,الحبيلين,R004,product_service_difference,Yes
13.5176625,44.8520083,613.263427734375,4.132,2020-12-06,Lahj,Radfan,الحبيلين,R005,product_service_difference,Yes
13.5270262,44.8514651,621.377685546875,4.931,2020-12-06,Lahj,Radfan,الحبيلين,R006,product_service_difference,No
13.5268452,44.8511897,653.1795654296875,4.853,2020-12-06,Lahj,Radfan,الحبيلين,R007,product_service_difference,No
13.5211411,44.8510469,616.4508056640625,4.716,2020-12-06,Lahj,Radfan,الحبيلين,R008,product_service_difference,Yes
13.519026,44.8514677,621.7896728515625,4.912,2020-12-06,Lahj,Radfan,الحبيلين,R009,product_service_difference,Yes
13.4287194,44.8245642,519.253662109375,3.977,2020-12-07,Lahj,Radfan,الملاح,R010,product_service_difference,Yes
13.428703825,44.824658723,526.282592773,4.9,2020-12-07,Lahj,Radfan,ملاح,R011,product_service_difference,No Idea
13.428718511,44.824544207,513.083435059,4.9,2020-12-07,Lahj,Radfan,الملاح ,R012,product_service_difference,Yes
13.429476841,44.825954302,530.660095215,4.9,2020-12-07,Lahj,Radfan,الملاح,R013,product_service_difference,No Idea
13.3669421,44.8771204,428.7044677734375,4.873,2020-12-07,Lahj,Radfan,الملاح,R014,product_service_difference,Yes
13.3669047,44.8770957,435.597900390625,4.094,2020-12-07,Lahj,Radfan,الملاح,R015,product_service_difference,Yes
13.4294528,44.8256882,533.986572265625,4.727,2020-12-07,Lahj,Radfan,الملاح,R016,product_service_difference,No Idea
13.4294521,44.8256934,516.815185546875,3.9,2020-12-07,Lahj,Radfan,الملاح,R017,product_service_difference,No Idea
13.016071378,45.005633402,26.452220917,4.9,2020-12-08,Lahj,Tuban,دار المناصره,R018,product_service_difference,No Idea
12.876584449,44.989238162,20.486801147,4.9,2020-12-08,Lahj,Almadharba,المضاربه,R019,product_service_difference,No Idea
12.876871289,44.989019086,68.024833679,4.9,2020-12-08,Lahj,Almadharba,المضاربه ,R020,product_service_difference,No Idea
13.0077454,45.011251,29.78155517578125,3.977,2020-12-08,Lahj,Tuban,القوز,R021,product_service_difference,Yes
13.0077235,45.0110783,28.612060546875,4.898,2020-12-08,Lahj,Tuban,القوز,R022,product_service_difference,Yes
12.8765454,44.9892153,2.445587158203125,4.824,2020-12-08,Lahj,Almadharba,ا,R023,product_service_difference,No Idea
13.0076975,45.0113492,28.29193115234375,3.9,2020-12-08,Lahj,Tuban,القوز,R024,product_service_difference,Yes
13.0160527,45.0056529,24.169189453125,3.9,2020-12-08,Lahj,Tuban,دار المناصرة,R025,product_service_difference,Yes
13.0161604,45.0056193,25.1922607421875,4.158,2020-12-08,Lahj,Tuban,دار المناصرة,R026,product_service_difference,Yes
13.1304462,45.3769398,4.02423095703125,4.502,2020-12-13,Abyan,Zingibar,زنجبار,R027,product_service_difference,Yes
,,,,2020-12-13,Abyan,Zingibar,جعار / الوادي قرية ساكن وعيس,R028,product_service_difference,No Idea
,,,,2020-12-13,Abyan,Khanfir,شارع جمال,R029,product_service_difference,No
13.1301733,45.3770303,5.0,18.443,2020-12-13,Abyan,Zingibar,السوق العام,R030,product_service_difference,No
13.1304202,45.3769872,5.0,16.968,2020-12-13,Abyan,Zingibar,السوق,R031,product_service_difference,Yes
13.2235033,45.3030066,31.9600830078125,4.824,2020-12-13,Abyan,Zingibar,جعار,R032,product_service_difference,No Idea
13.22436,45.3031034,59.16021728515625,4.931,2020-12-13,Abyan,Khanfir,جعار,R033,product_service_difference,No Idea
13.22436,45.303091,58.3564453125,4.192,2020-12-13,Abyan,Khanfir,زنجبار,R034,product_service_difference,No Idea
13.2243821,45.303073,59.6273193359375,4.824,2020-12-13,Abyan,Khanfir,جعار,R035,product_service_difference,No Idea
13.1304748,45.3768921,-3.100128173828125,4.853,2020-12-13,Abyan,Zingibar,زنجبار,R036,product_service_difference,Yes
13.1302848,45.3767822,-33.712738037109375,4.931,2020-12-13,Abyan,Zingibar,زنجبار,R037,product_service_difference,Yes
13.1303673,45.3770332,-6.905059814453125,4.931,2020-12-13,Abyan,Zingibar,زنجبار,R038,product_service_difference,Yes
13.1302815,45.3768658,6.731231689453125,4.931,2020-12-13,Abyan,Zingibar,زنجبار,R039,product_service_difference,No
13.1300773,45.3769634,25.57110595703125,4.716,2020-12-13,Abyan,Zingibar,زنجبار,R040,product_service_difference,No Idea
13.130374,45.3770388,9.15472412109375,4.288,2020-12-13,Abyan,Zingibar,زنجبار,R041,product_service_difference,No
13.1304727,45.3771494,42.40618896484375,4.824,2020-12-13,Abyan,Zingibar,الرئيسي,R042,product_service_difference,No
13.1304145,45.3768055,20.24853515625,4.824,2020-12-13,Abyan,Zingibar,الرئيسي,R043,product_service_difference,Yes
13.224559,45.3031669,56.36962890625,4.931,2020-12-13,Abyan,Zingibar,جعار,R044,product_service_difference,Yes
13.2243989,45.3031358,52.68212890625,4.639,2020-12-13,Abyan,Zingibar,جعار,R045,product_service_difference,Yes
13.2243755,45.3029634,44.83917236328125,4.698,2020-12-13,Abyan,Zingibar,جعار,R046,product_service_difference,Yes
13.430827667,44.824570977,527.608764648,4.9,2020-12-14,Lahj,Radfan,الملاح,R047,product_service_difference,Yes
13.430775569,44.824475551,526.142700195,4.9,2020-12-14,Lahj,Radfan,الملاح,R048,product_service_difference,Yes
13.368103363,44.876850252,427.453438105,4.7,2020-12-14,Lahj,Radfan,الملاح,R049,product_service_difference,Yes
12.990514884,44.961507191,65.272503343,4.9,2020-12-14,Lahj,Tuban,الفيوش,R050,product_service_difference,Yes
12.988953266,44.960422197,22.202645306,4.9,2020-12-14,Lahj,Tuban,الفيوش,R051,product_service_difference,Yes
13.4286985,44.8245818,536.086181640625,4.853,2020-12-14,Lahj,Radfan,الملاح,R052,product_service_difference,No
13.4287169,44.8245228,49.89999771118164,4.873,2020-12-14,Lahj,Radfan,الملاح,R053,product_service_difference,Yes
13.4307964,44.8245192,2.400000095367432,4.386,2020-12-14,Lahj,Radfan,الملاح,R054,product_service_difference,Yes
13.4308241,44.8245405,2.400000095367432,3.9,2020-12-14,Lahj,Radfan,الملاح,R055,product_service_difference,Yes
12.9905477,44.961515,42.6583251953125,4.824,2020-12-14,Lahj,Tuban,الفيوش,R056,product_service_difference,Yes
