arabic,expected,rule_based
الزغبري - غبيراء,Al-Zaghbari - Ghubayra,Az-zghbree - Ghbeera'
الشعيب - رصافة,Al-Shuaib - Rasafah,Ash-sh'eeb - Rsafah
جبل العمري - الحنيشيه,Jabal Al-Amri - Al-Hanishiya,Jbl al'mree - Al-hneesheeh
الخباه,Al-Khabah,Al-khbah
الموسنه - حسى الاحمر,Al-Musinah - Hasi Al-Ahmar,Al-mousnh - Hsa alahmr
مقدم راس - وادي بني ابراهيم,Muqaddam Ras - Wadi Bani Ibrahim,Mqdm ras - Wady bny abraheem
بني دريغم - المقضي,Bani Drigham - Al-Maqdi,Bny dreeghm - Al-mqdee
حنه العليا - الحجاجين,Hanna Al-Ulya - Al-Hajjajin,Hnh al'lya - Al-hjajeen
العارضه - حصب الطير,Al-Ardah - Hasab Al-Tayr,Al-'ardh - Hsb alteer
محاطبه - المليطات,Mahataba - Al-Malitat,Mhatbh - Al-mleetat
يفرس - الحيضان,Yafrus - Al-Haydan,Yfrs - Al-heedan
الشبارة - الكبيسة,Al-Shabarah - Al-Kabisah,Ash-shbarah - Al-kbeesah
الوحيز - المقاطره,Al-Wahiz - Al-Muqatira,Al-wheez - Al-mqatrh
حنه العليا - خرانه,Hanna Al-Ulya - Kharanah,Hnh al'lya - Khranh
غيل الحاضنه - القرعاء,Ghayl Al-Hadina - Al-Qara'a,Gheel alhadnh - Al-qr'a'
حاضيه - حاضية,Hadhiyah - Hadhiyah,Hadeeh - Hadyah
الرجحه - الرويس,Al-Rajhah - Al-Ruways,Ar-rjhh - Ar-rwees
الفحيشيه,Al-Fahishiya,Al-fheesheeh
الطليله - الحلجوم,Al-Talilah - Al-Haljum,At-tleelh - Al-hljoum
واحجه - الحريزه,Wahja - Al-Hariza,Wahjh - Al-hreezh
الطفيلي - عكشة,Al-Tufayli - 'Akashah,At-tfeelee - 'kshah
الغرافي - العداين,Al-Gharrafi - Al-Adain,Al-ghrafee - Al-'daeen
