arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
الجريـن,Al-Jarin,split,الشعيب - الجريـن,Al-Shuaib - Al-Jarin,الجرين,Al-Jarin,6,8
العذار,al-Adhar,split,نمره - العذار,Nimrah - al-Adhar,العذار,al-Adhar,6,8
الزريبه,Al-Zaribah,split,الزريبه - الدرينه,Al-Zaribah - Al-Duraynah,الزريبه,Al-Zaribah,7,10
هيجة ياسين,Hijat Yasin,split,القطنه - هيجة ياسين,Al-Qatna - Hijat Yasin,هيجة ياسين,Hijat Yasin,10,11
الركز,al-Rukz,split,الركز - المغربه العليا,al-Rukz - al-Maghriba al-'Ulya,الركز,al-Rukz,5,7
غيل الحاضنه,Ghayl Al-Hadina,split,غيل الحاضنه - القرعاء,Ghayl Al-Hadina - Al-Qara'a,غيل الحاضنه,Ghayl Al-Hadina,11,15
الشبارة,Al-Shabara,split,الشبارة - الفريعة,Al-Shabara - Al-Fari'ah,الشبارة,Al-Shabara,7,10
الغيل,Al-Ghayl,split,الغيل - الجنه,Al-Ghayl - Al-Janna,الغيل,Al-Ghayl,5,8
الزريقاء,Al-Zariqa',split,الازيود - الزريقاء,Al-Azyoud - Al-Zariqa',الزريقاء,Al-Zariqa',8,10
الكهرباء,Al-Kahraba,split,بني الحكم - الكهرباء,Bani Al-Hakam - Al-Kahraba,الكهرباء,Al-Kahraba,8,10
العقمه,Al-Aqmah,split,العقمه - العشه,Al-Aqmah - Al-'Ash'ah,العقمه,Al-Aqmah,6,8
الهوايم,Al-Hawaim,split,جسر رسيان - الهوايم,Rasian Bridge - Al-Hawaim,الهوايم,Al-Hawaim,7,9
المحالص,Al-Mahalis,split,السويهره - المحالص,Al-Suwayhirah - Al-Mahalis,المحالص,Al-Mahalis,7,10
النويدره,Al-Nuwaidrah,split,الضيجه - النويدره,Al-Dhayjah - Al-Nuwaidrah,النويدره,Al-Nuwaidrah,8,12
بني مليك,Bani Malik,split,بني مليك - العكده,Bani Malik - al-Akdah,بني مليك,Bani Malik,8,10
المورخ,Al-Murakh,split,الغيل - المورخ,Al-Ghayl - Al-Murakh,المورخ,Al-Murakh,6,9
الشقيراء,Al-Shuqayra,split,الشقيراء - العقيده السفلى,Al-Shuqayra - Al-'Aqidah Al-Sufla,الشقيراء,Al-Shuqayra,8,11
الحجب,Al-Hajab,split,الطوير - الحجب,Al-Tuwair - Al-Hajab,الحجب,Al-Hajab,5,8
الحصب,Al-Hasab,split,نمره - الحصب,Nimrah - Al-Hasab,الحصب,Al-Hasab,5,8
الوحيز,Al-Wahiz,split,الوحيز - شط الغراب,Al-Wahiz - Shat Al-Ghurab,الوحيز,Al-Wahiz,6,8
وادي البير,Wadi Al-Bir,split,وادي البير - تتر اعلى,Wadi Al-Bir - Tatar A'la,وادي البير,Wadi Al-Bir,10,11
العصفوريه,Al-Asfuriya,split,الغيل - العصفوريه,Al-Ghayl - Al-Asfuriya,العصفوريه,Al-Asfuriya,9,11
حسي بن علوان,Hassi Bin Alwan,split,حسي بن علوان - سيلة السوداء,Hassi Bin Alwan - Saylat Al-Sawda,حسي بن علوان,Hassi Bin Alwan,12,15
الشعب,al-Sha'b,split,حاضيه - الشعب,Hadhiyah - al-Sha'b,الشعب,al-Sha'b,5,8
المزانده,Al-Mazanda,split,المزانده - الضاربه,Al-Mazanda - Al-Daribah,المزانده,Al-Mazanda,8,10
بني مليك,Bani Malik,split,بني مليك - العـاوه,Bani Malik - al-'Awah,بني مليك,Bani Malik,8,10
القشعه,Al-Qash'ah,split,القشعه - الاسبال,Al-Qash'ah - Al-Asbal,القشعه,Al-Qash'ah,6,10
الغيل,Al-Ghayl,split,الغيل - النوبه الشاكرية,Al-Ghayl - Al-Nuba Al-Shakriya,الغيل,Al-Ghayl,5,8
الصـويره - الجبانة,Al-Sawerah-Al-Jabanah,original,,,الصويره - الجبانة,Al-Sawerah-Al-Jabanah,17,21
بني عامر,Bani Amer,split,بني عامر - المزبر,Bani Amer - al-Mazbar,بني عامر,Bani Amer,8,9
الغوبقه,Al-Ghubaqah,split,الغوبقه - المنيقد,Al-Ghubaqah - Al-Munayqid,الغوبقه,Al-Ghubaqah,7,11
رداع - الميهال,Rada-Al-Mayhal,original,,,رداع - الميهال,Rada-Al-Mayhal,14,14
الفقوة,Al-Faqwa,split,الغيل - الفقوة,Al-Ghayl - Al-Faqwa,الفقوة,Al-Faqwa,6,8
الصنمه,Al-Sunmah,split,الصنمه - ذاسرعيد,Al-Sunmah - Dhasar 'Aid,الصنمه,Al-Sunmah,6,9
الطوير,Al-Tuwair,split,الطوير - رشيد,Al-Tuwair - Rashid,الطوير,Al-Tuwair,6,9
بني حجاج,Bani Hajjaj,split,بني حجاج - المقيديحه,Bani Hajjaj - Al-Muqaydihah,بني حجاج,Bani Hajjaj,8,11
المداره,Al-Madarah,split,موزع - المداره,Mawza' - Al-Madarah,المداره,Al-Madarah,7,10
وادي الاربح,Wadi Al-Arbah,split,الشقيراء - وادي الاربح,Al-Shuqayra - Wadi Al-Arbah,وادي الاربح,Wadi Al-Arbah,11,13
المغدر,Al-Maghdar,split,المغدر - بئر مالك,Al-Maghdar - Bir Malik,المغدر,Al-Maghdar,6,10
الاتيمه,Al-Atima,split,الاتيمه - البرح الاحمر,Al-Atima - Al-Barh Al-Ahmar,الاتيمه,Al-Atima,7,8
العلبه,Al-'Albah,split,الضيجه - العلبه,Al-Dhayjah - Al-'Albah,العلبه,Al-'Albah,6,9
ذي البرع - القحفــه,Thee Al-Bara-Al-Qahfah,original,,,ذي البرع - القحفه,Thee Al-Bara-Al-Qahfah,17,22
حسي سالم,Hassi Salem,split,حسي سالم - المبعوث,Hassi Salem - Al-Mab'outh,حسي سالم,Hassi Salem,8,11
القشعه,Al-Qash'ah,split,القشعه - المقره,Al-Qash'ah - Al-Muqrah,القشعه,Al-Qash'ah,6,10
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - عين سباء,Wadi Sa'adah - 'Ayn Saba',وادي سعاده,Wadi Sa'adah,10,12
الغيل,Al-Ghayl,split,الغيل - ذاحيان,Al-Ghayl - Dhahyan,الغيل,Al-Ghayl,5,8
حسي سالم,Hassi Salem,split,حسي سالم - الخظراء,Hassi Salem - Al-Khadhra',حسي سالم,Hassi Salem,8,11
الطليله,Al-Talilah,split,الطليله - الطويله,Al-Talilah - Al-Tawilah,الطليله,Al-Talilah,7,10
