input_skeleton,output_english
AlJryn,Al-Jarin
Al'dhar,al-Adhar
Alzrybh,Al-Zaribah
hyJh yasyn,Hijat Yasin
Alrkz,al-Rukz
ghyl alhadnh,Ghayl Al-Hadina
Alshbarh,Al-Shabara
Alghyl,Al-Ghayl
Alzryqa',Al-Zariqa'
Alkhrba',Al-Kahraba
Al'qmh,Al-Aqmah
Alhwaym,Al-Hawaim
Almhals,Al-Mahalis
Alnwydrh,Al-Nuwaidrah
bny mlyk,Bani Malik
Almwrkh,Al-Murakh
Alshqyra',Al-Shuqayra
AlhJb,Al-Hajab
Alhsb,Al-Hasab
Alwhyz,Al-Wahiz
wady albyr,Wadi Al-Bir
Al'sfwryh,Al-Asfuriya
hsy bn 'lwan,Hassi Bin Alwan
Alsh'b,al-Sha'b
Almzandh,Al-Mazanda
bny mlyk,Bani Malik
Alqsh'h,Al-Qash'ah
Alghyl,Al-Ghayl
Alswyrh  alJbanh,Al-Sawerah-Al-Jabanah
bny 'amr,Bani Amer
Alghwbqh,Al-Ghubaqah
rda'  almyhal,Rada-Al-Mayhal
Alfqwh,Al-Faqwa
Alsnmh,Al-Sunmah
AlTwyr,Al-Tuwair
bny hJaJ,Bani Hajjaj
Almdarh,Al-Madarah
wady alarbh,Wadi Al-Arbah
Almghdr,Al-Maghdar
Alatymh,Al-Atima
Al'lbh,Al-'Albah
dhy albr'  alqhfh,Thee Al-Bara-Al-Qahfah
hsy salm,Hassi Salem
Alqsh'h,Al-Qash'ah
wady s'adh,Wadi Sa'adah
Alghyl,Al-Ghayl
hsy salm,Hassi Salem
AlTlylh,Al-Talilah
Trh alJwy'y,Tarah Al-Juway'i
Alshqyra',Al-Shuqayra
Alkwyhh,Al-Kuwayhah
J'ashy,Ja'ashi
Alqhyzh,Al-Qahizah
AlJbyh,al-Jubayyah
'qylh,Aqilah
Alqrn,Al-Qarn
AlTwyr,Al-Tuwair
Alshqyra',Al-Shuqayra
Als'ydh,Al-Sa'idah
wady mksb,Wadi Makasab
byt alhwysh,Bayt Al-Huwaish
AlJdyr,Al-Jadir
AlTbylyh,Al-Tabiliyah
Jns,Jins
msran,Misran
qhqh 'yn sba',Qahqat 'Ayn Saba'
Alghyl,Al-Ghayl
AlJatyn,Al-Jatin
Aldl',Al-Dala'
mslqh,Maslaqah
bny 'ly,Bani Ali
Almhwa,Al-Mahwa
Almqdahh,Al-Maqdaha
